filename,size,rseries
07180809_0548_F0009,179.625MiB,R68
07180809_0548_F0010,145.462MiB,R68
07180809_1549_F0001,50.551MiB,R68
07180809_1549_F0002,195.888MiB,R68
07180809_1549_F0003,194.578MiB,R68
07180809_1549_F0004,186.513MiB,R68
07180809_1549_F0005,187.753MiB,R68
07180809_1549_F0006,190.211MiB,R68
07180809_1549_F0007,189.974MiB,R68
07180809_1549_F0008,191.864MiB,R68
07180809_1549_F0009,190.046MiB,R68
07180809_1549_F0010,153.453MiB,R68
07180809_1600_F0001,52.141MiB,R68
07180809_1600_F0002,194.706MiB,R68
07180809_1600_F0003,191.307MiB,R68
